Wavelength	Blue_Dragon_Flow_basalt_00000.asd.sco	Blue_Dragon_Flow_basalt_00001.asd.sco	Cape_Brenton_Anorthosite_00000.asd.sco	Cape_Brenton_Anorthosite_00001.asd.sco	Cape_Brenton_Anorthosite_00002.asd.sco	Hematite_particulate_00000.asd.sco	Hvalfj054_00000.asd.sco	Hvalfj054_00001.asd.sco	Hvalfj054_00002.asd.sco	Kilauea_basalt_particulate_00000.asd.sco	Kilauea_basalt_rock_00000.asd.sco	Kilauea_basalt_rock_00001.asd.sco	Nontronite_00000.asd.sco	Olivine_San_Carlo_125-250_00000.asd.sco	Olivine_San_Carlos_250-1mm_00000.asd.sco	San_Carlos_B_rock00000.asd.sco	San_Carlos_B_rock00001.asd.sco	San_Carlos_B_rock00002.asd.sco	San_Carlos_B_rock00003.asd.sco
2345	6.52577131986618E-02	9.14688184857368E-02	0.359369367361069	0.238994866609573	0.284671247005463	0.26824215054512	9.18895378708839E-02	7.48783424496651E-02	7.54031091928482E-02	0.100274682044983	6.49887323379517E-02	5.72657063603401E-02	0.254439979791641	0.714250683784485	0.632304906845093	6.54684007167816E-02	0.269178569316864	0.14037960767746	 0.115266621112823 
2346	6.52812421321869E-02	9.14118364453316E-02	0.359169572591782	0.238866627216339	0.284390866756439	0.268271923065186	9.18891131877899E-02	7.46658146381378E-02	7.52268880605698E-02	0.100225985050201	6.49851411581039E-02	5.72475716471672E-02	0.253225475549698	0.714218199253082	0.632326602935791	6.54282569885254E-02	0.269201695919037	0.140356540679932	 0.115309558808804 
2347	6.52870386838913E-02	0.091353215277195	0.359088540077209	0.238731667399406	0.2842817902565	0.268313080072403	9.19139981269836E-02	7.44528770446777E-02	7.50503689050674E-02	0.100215576589108	6.49889186024666E-02	5.72717450559139E-02	0.252047806978226	0.714201331138611	0.632338583469391	6.54091909527779E-02	0.269259810447693	0.140283450484276	 0.115279451012611 
2348	6.52696341276169E-02	0.091292604804039	0.35922783613205	0.238793656229973	0.284311801195145	0.26837432384491	0.091854102909565	7.42527022957802E-02	7.48861953616142E-02	0.100236393511295	6.50060623884201E-02	5.72635494172573E-02	0.250839620828629	0.714202463626862	0.632380127906799	6.53966888785362E-02	0.269302755594254	0.140282556414604	 0.115263149142265 
2349	6.52498453855515E-02	9.12287309765816E-02	0.359557151794434	0.238965630531311	0.284447133541107	0.268430858850479	9.18629914522171E-02	7.40429759025574E-02	7.47362300753593E-02	0.100247658789158	6.49993494153023E-02	5.72331510484219E-02	0.249505177140236	0.714239060878754	0.63241583108902	6.53798505663872E-02	0.269371449947357	0.140274792909622	 0.115228101611137 
2350	6.52322620153427E-02	9.11797136068344E-02	0.360059827566147	0.239202439785004	0.284682065248489	0.268508285284042	9.19350534677505E-02	7.39071890711784E-02	7.45695158839226E-02	0.100250989198685	6.49758204817772E-02	5.72763234376907E-02	0.248137250542641	0.714313626289368	0.632478058338165	6.53776451945305E-02	0.269465118646622	0.140266954898834	 0.115209512412548 
2351	6.52599483728409E-02	9.12022218108177E-02	0.360759437084198	0.239609479904175	0.285004377365112	0.268557727336884	9.19182896614075E-02	7.37989917397499E-02	7.43784531950951E-02	0.100307919085026	6.49906471371651E-02	0.057334627956152	0.246789678931236	0.71441650390625	0.63269180059433	6.53348341584206E-02	0.269442856311798	0.140298828482628	 0.115240253508091 
2352	6.53092116117477E-02	9.12188366055489E-02	0.36163792014122	0.240079775452614	0.285450905561447	0.268554985523224	9.19251292943954E-02	7.35884159803391E-02	7.41812810301781E-02	0.100406862795353	6.50002360343933E-02	5.73070533573627E-02	0.245415911078453	0.714489042758942	0.632910013198853	6.52517750859261E-02	0.269452601671219	0.140335246920586	 0.115206077694893 
2353	6.52945563197136E-02	9.11597833037376E-02	0.362620413303375	0.240604564547539	0.286056131124496	0.268545717000961	9.19491797685623E-02	7.33645781874657E-02	7.39957615733147E-02	0.100450597703457	6.50084242224693E-02	0.05728405341506	0.244019761681557	0.714499115943909	0.633015394210815	6.52451291680336E-02	0.269492089748383	0.140323683619499	 0.115132108330727 
2354	6.52897506952286E-02	0.091104194521904	0.363802880048752	0.24131041765213	0.28677225112915	0.268561363220215	9.19102281332016E-02	7.31485486030579E-02	7.38597810268402E-02	0.100442565977573	6.50152489542961E-02	5.73000945150852E-02	0.242608979344368	0.714571058750153	0.633189082145691	6.52805119752884E-02	0.269443780183792	0.140260860323906	 0.115108087658882 
2355	6.52654767036438E-02	9.10442620515823E-02	0.365115165710449	0.242120444774628	0.287539958953857	0.268567621707916	9.19265374541283E-02	7.29422867298126E-02	7.37402513623238E-02	0.100380040705204	0.065010741353035	5.72554171085358E-02	0.241126000881195	0.714573562145233	0.63336718082428	6.52641281485558E-02	0.269364356994629	0.140241250395775	 0.115092858672142 
2356	6.52555525302887E-02	0.090982623398304	0.36653944849968	0.243064448237419	0.28840845823288	0.268566787242889	0.091939315199852	0.072757788002491	7.35696479678154E-02	0.100337237119675	6.50436282157898E-02	5.72034679353237E-02	0.239619627594948	0.71452260017395	0.63350248336792	6.52245506644249E-02	0.269283682107925	0.140220180153847	 0.11507460474968 
2357	6.53378516435623E-02	9.09615159034729E-02	0.368158131837845	0.244116649031639	0.289360642433167	0.268610239028931	9.18715372681618E-02	7.25494921207428E-02	7.33459442853928E-02	0.10039433836937	6.50233253836632E-02	0.057222917675972	0.238122135400772	0.714537680149078	0.633640706539154	6.51919394731522E-02	0.269197762012482	0.140110015869141	 0.115114159882069 
2358	6.53417780995369E-02	9.09828320145607E-02	0.369864076375961	0.245234131813049	0.290445804595947	0.268671572208405	9.18921753764153E-02	7.23555460572243E-02	7.31360837817192E-02	0.100424043834209	6.49805292487144E-02	5.72711750864983E-02	0.236588567495346	0.714563012123108	0.633806049823761	6.51576817035675E-02	0.269122660160065	0.140057772397995	 0.115129925310612 
2359	6.53158500790596E-02	9.09795463085175E-02	0.37170398235321	0.246460199356079	0.291715532541275	0.2686987221241	9.19279158115387E-02	7.21447467803955E-02	7.29682594537735E-02	0.100377656519413	6.49668052792549E-02	0.057269312441349	0.235021382570267	0.714608609676361	0.63391786813736	6.51189610362053E-02	0.269065499305725	0.14002925157547	 0.115039736032486 
2360	6.53616562485695E-02	0.09089595079422	0.373696088790894	0.247706860303879	0.293032139539719	0.268744915723801	9.19043943285942E-02	7.19376876950264E-02	0.072804681956768	0.100359074771404	6.48993030190468E-02	5.72296343743801E-02	0.233450144529343	0.714674890041351	0.633976340293884	6.51126727461815E-02	0.269012242555618	0.139937728643417	 0.1149837449193 
2361	6.53566718101501E-02	9.08529311418533E-02	0.375742882490158	0.248951509594917	0.294325351715088	0.26879957318306	9.19592976570129E-02	7.17533826828003E-02	7.26588740944862E-02	0.100355230271816	6.49100169539452E-02	5.71900047361851E-02	0.231855660676956	0.71465128660202	0.634078443050385	6.50947093963623E-02	0.268904089927673	0.139871448278427	 0.114977724850178 
2362	6.53335675597191E-02	9.08347740769386E-02	0.37789312005043	0.250277668237686	0.29573991894722	0.268838346004486	0.092006653547287	7.15212821960449E-02	7.24959224462509E-02	0.100318878889084	6.49884641170502E-02	5.71709834039211E-02	0.230269610881805	0.714585781097412	0.634197294712067	6.50245100259781E-02	0.268786251544952	0.139837458729744	 0.114905945956707 
2363	6.53487890958786E-02	9.07309949398041E-02	0.380013436079025	0.251627326011658	0.29719677567482	0.26885187625885	9.19578298926353E-02	7.12705478072166E-02	7.22897872328758E-02	0.100334592163563	6.49986937642097E-02	5.71965835988522E-02	0.228731393814087	0.714522004127502	0.634277105331421	6.49978816509247E-02	0.26870533823967	0.139810562133789	 0.114861845970154 
2364	6.53319880366325E-02	9.06936451792717E-02	0.382104605436325	0.252996832132339	0.298608094453812	0.26886510848999	9.19039398431778E-02	7.10001587867737E-02	7.21068680286407E-02	0.100424788892269	6.49833083152771E-02	5.72218112647533E-02	0.227170020341873	0.714451313018799	0.634316802024841	6.50134235620499E-02	0.268600970506668	0.139808014035225	 0.114890187978745 
2365	6.53071478009224E-02	9.07199010252953E-02	0.384234815835953	0.254347890615463	0.300036191940308	0.268915206193924	9.18813422322273E-02	7.07327574491501E-02	7.19010755419731E-02	0.100443534553051	6.49905502796173E-02	5.72486892342567E-02	0.225590109825134	0.714485585689545	0.634351313114166	6.49742111563683E-02	0.268450707197189	0.139779567718506	 0.114868141710758 
