wvs	L_nont_mars	L_nont_moon	L_nont_europa	iof_mix_mars	iof_nont_moon	iof_nont_europa
0.2255	0.44332987	0.66499478	0.12788361	0.039953007	0.039953005	0.039953005
0.2265	0.33175382	0.49763072	0.095698223	0.03967901	0.03967901	0.039679011
0.22750001	0.33381113	0.50071669	0.096291676	0.039405009	0.039405008	0.03940501
0.22849999	0.43138546	0.64707816	0.12443811	0.039131011	0.039131012	0.039131012
0.2295	0.39340299	0.59010452	0.11348164	0.038857014	0.038857015	0.038857013
0.2305	0.42673609	0.64010412	0.12309695	0.03858301	0.038583009	0.03858301
0.2315	0.41435671	0.62153506	0.11952598	0.038309006	0.038309006	0.038309006
0.2325	0.4298763	0.64481449	0.12400278	0.038035007	0.038035008	0.038035008
0.2335	0.35850766	0.53776151	0.10341568	0.037761011	0.037761011	0.037761009
0.23450001	0.31000596	0.46500894	0.089424804	0.037487005	0.037487008	0.03748701
0.23549999	0.40605581	0.60908371	0.11713149	0.037213012	0.037213013	0.037213012
0.23649999	0.3808825	0.57132375	0.10986996	0.036939011	0.036939012	0.03693901
0.2375	0.37689012	0.56533521	0.10871831	0.036665009	0.036665009	0.036665009
0.2385	0.3240324	0.48604861	0.093470886	0.03639101	0.036391011	0.036391008
0.2395	0.33814746	0.50722122	0.097542547	0.036117008	0.036117011	0.036117014
0.2405	0.30089819	0.45134729	0.086797558	0.035843007	0.035843005	0.035843007
0.24150001	0.38856986	0.58285481	0.11208747	0.035569006	0.035569005	0.035569004
0.24250001	0.52878219	0.79317325	0.15253332	0.035295006	0.035295005	0.035295007
0.24349999	0.49443021	0.74164534	0.14262411	0.035021007	0.035021007	0.035021007
0.2445	0.44956499	0.67434746	0.12968221	0.03474701	0.034747006	0.034747009
0.2455	0.36130759	0.54196137	0.10422335	0.034473012	0.034473009	0.034473009
0.2465	0.36576563	0.54864842	0.10550932	0.034199006	0.034199005	0.034199007
0.2475	0.39955056	0.59932584	0.11525498	0.033925002	0.033925002	0.033925004
0.2485	0.32598504	0.48897758	0.094034158	0.033651003	0.033651004	0.033651007
0.24950001	0.39932942	0.59899414	0.11519118	0.033377008	0.033377005	0.033377006
0.25049999	0.42218304	0.63327456	0.12178357	0.033103008	0.033103009	0.033103007
0.25150001	0.32053003	0.48079506	0.092460588	0.032829001	0.032829	0.032828999
0.2525	0.28704345	0.43056521	0.082800999	0.032555005	0.032555008	0.032555005
0.25350001	0.35312989	0.52969486	0.1018644	0.032281	0.032280999	0.032280999
0.2545	0.40460521	0.60690784	0.11671305	0.032007002	0.032007005	0.032007004
0.25549999	0.53400248	0.80100369	0.15403917	0.031733008	0.031733005	0.031733004
0.25650001	0.67959726	1.0193958	0.19603768	0.031459005	0.031459003	0.031459003
0.25749999	0.82985508	1.2447826	0.23938127	0.03118501	0.031185008	0.031185008
0.25850001	0.8205958	1.2308936	0.23671032	0.030911004	0.030911004	0.030911002
0.2595	0.67614293	1.0142144	0.19504122	0.030637006	0.030637004	0.030637005
0.26050001	0.55096048	0.82644075	0.15893091	0.030362998	0.030363002	0.030363001
0.2615	0.57338065	0.86007094	0.16539827	0.030089004	0.030089003	0.030089006
0.26249999	0.65547103	0.98320657	0.18907818	0.029815005	0.029815007	0.029815006
0.26350001	1.0393662	1.5590495	0.2998172	0.029541001	0.029541003	0.029541004
0.26449999	1.5507996	2.3261993	0.44734606	0.029267005	0.029267005	0.029267005
0.26550001	1.5547382	2.3321073	0.44848216	0.028993001	0.028993002	0.028993
0.2665	1.5199338	2.2799008	0.43844247	0.028719005	0.028719005	0.028719004
0.26750001	1.5138829	2.2708244	0.43669701	0.028444998	0.028444999	0.028444998
0.2685	1.4574541	2.1861811	0.42041942	0.028171002	0.028171002	0.028171001
0.26949999	1.4142709	2.1214063	0.40796274	0.027897007	0.027897007	0.027897006
0.2705	1.5668545	2.3502817	0.45197728	0.027623	0.027623001	0.027623001
0.27149999	1.3023366	1.9535048	0.37567404	0.027349006	0.027349005	0.027349006
0.27250001	1.1341602	1.7012404	0.32716164	0.027074997	0.027074998	0.027074998
0.2735	1.1175641	1.6763462	0.32237428	0.026801002	0.026801003	0.026801002
0.27450001	0.74643242	1.1196487	0.21531706	0.026526998	0.026526998	0.026526998
0.2755	0.97549254	1.4632387	0.2813921	0.026252999	0.026252998	0.026252999
0.27649999	1.338536	2.0078042	0.38611618	0.025979006	0.025979008	0.025979006
0.2775	1.2753252	1.9129878	0.36788228	0.025704998	0.025704997	0.025704997
0.27849999	0.85968262	1.2895238	0.24798536	0.025431002	0.025431002	0.025431003
0.27950001	0.45670706	0.68506056	0.13174242	0.025156999	0.025156998	0.025156999
0.28049999	0.49967828	0.74951744	0.14413796	0.024883004	0.024883004	0.024883003
0.28150001	1.0877824	1.6316736	0.31378338	0.024608995	0.024608996	0.024608996
0.2825	1.5187464	2.2781196	0.43809995	0.024335001	0.024335001	0.024335
0.28349999	1.6007007	2.401051	0.46174061	0.024061004	0.024061003	0.024061005
0.2845	1.1877373	1.7816061	0.34261656	0.023786998	0.023786998	0.023786996
0.28549999	0.81380606	1.2207091	0.23475175	0.023513001	0.023513002	0.023513001
0.28650001	1.5913848	2.3870771	0.45905331	0.023238994	0.023238994	0.023238995
0.28749999	1.6388988	2.458348	0.47275931	0.022964999	0.022964997	0.022964998
0.28850001	1.5514506	2.3271759	0.44753385	0.022690996	0.022690994	0.022690996
0.2895	2.2486503	3.3729753	0.64864916	0.022416999	0.022416997	0.022416998
0.29049999	2.8382027	4.2573042	0.81871235	0.022242999	0.022243001	0.022243
0.2915	2.7323198	4.0984797	0.78816921	0.022168999	0.022168999	0.022168999
0.29249999	2.4470351	3.6705527	0.70587552	0.022095	0.022095002	0.022095
0.29350001	2.5023921	3.7535882	0.7218439	0.022020999	0.022021	0.022021
0.29449999	2.3696332	3.5544498	0.68354803	0.021947002	0.021947002	0.021947
0.29550001	2.5716043	3.8574061	0.74180889	0.021906001	0.021905999	0.021905998
0.2965	2.3680601	3.5520902	0.68309432	0.021897999	0.021898	0.021898
0.29750001	2.3565109	3.5347664	0.67976278	0.021889999	0.02189	0.021889999
0.2985	2.1615515	3.2423272	0.62352449	0.021882001	0.021882001	0.021882002
0.29949999	2.2466345	3.369952	0.64806771	0.021874	0.021874001	0.021874001
0.30050001	1.9494699	2.9242048	0.56234711	0.021873003	0.021873	0.021873002
0.30149999	2.1148264	3.1722395	0.61004609	0.021879002	0.021879001	0.021879001
0.30250001	2.2709851	3.4064777	0.65509188	0.021885001	0.021885001	0.021885001
0.3035	2.8829439	4.3244162	0.83161849	0.021890998	0.021891	0.021891
0.30450001	2.7996292	4.1994438	0.80758536	0.021897001	0.021896999	0.021897
0.3055	2.7673841	4.1510758	0.79828393	0.021925001	0.021925001	0.021925001
0.30649999	2.5913622	3.8870435	0.74750841	0.021974999	0.021975	0.021974999
0.3075	2.8744178	4.3116269	0.82915902	0.022025	0.022025001	0.022025
0.30849999	2.864079	4.2961187	0.82617676	0.022075	0.022074999	0.022075001
0.30950001	2.3311026	3.4966538	0.67243344	0.022124999	0.022125	0.022124999
0.3105	2.9306653	4.3959975	0.84538418	0.022189002	0.022189	0.022189
0.31150001	3.4456189	5.1684284	0.99392855	0.022267	0.022267	0.022267
0.3125	3.1101182	4.6651769	0.8971495	0.022345	0.022345	0.022345001
0.31349999	3.3303399	4.9955096	0.960675	0.022422999	0.022422997	0.022422999
0.3145	3.1652548	4.7478824	0.91305435	0.022500998	0.022500999	0.022500999
0.31549999	3.0349789	4.5524683	0.87547475	0.022593999	0.022593998	0.022594
0.31650001	3.0504498	4.575675	0.87993753	0.022702002	0.022702001	0.022702
0.3175	3.7460108	5.6190162	1.0805801	0.022810001	0.022810001	0.022810001
0.31850001	3.2336423	4.8504634	0.93278146	0.022918004	0.022918003	0.022918003
0.3195	3.471694	5.207541	1.0014502	0.023026	0.023026	0.023026001
0.32049999	3.9503365	5.9255047	1.13952	0.023122001	0.023122001	0.023122
