"wvs,"	"L_mix_mars,"	"L_mix_moon,"	"L_mix_europa,"	"iof_mix_mars,"	"iof_mix_moon,"	iof_mix_europa
0.5625	39.37796	59.066936	11.359027	0.10030501	0.100305	0.10030501
0.56349999	39.775589	59.663383	11.473729	0.100719	0.10071899	0.100719
0.56449997	39.788857	59.683285	11.477555	0.101133	0.101133	0.10113299
0.56550002	38.748055	58.122086	11.177324	0.10155502	0.10155502	0.10155501
0.56650001	39.583019	59.374527	11.418179	0.10198501	0.10198501	0.10198501
0.5675	41.010429	61.515644	11.829933	0.10241499	0.10241499	0.102415
0.56849998	39.502136	59.253204	11.394848	0.102845	0.10284499	0.102845
0.56950003	40.763088	61.144634	11.758584	0.10327502	0.10327502	0.10327502
0.57050002	38.915169	58.372749	11.225529	0.10366501	0.10366502	0.10366501
0.5715	40.23848	60.357716	11.607254	0.10401501	0.104015	0.10401501
0.57249999	41.902016	62.853024	12.08712	0.10436501	0.10436501	0.10436501
0.57349998	41.686993	62.530491	12.025096	0.104715	0.10471499	0.104715
0.57450002	41.625675	62.438511	12.007407	0.10506502	0.10506501	0.10506502
0.57550001	40.937824	61.406734	11.808989	0.10541801	0.10541801	0.10541801
0.5765	41.435207	62.152813	11.952464	0.10577401	0.10577401	0.10577401
0.57749999	41.822395	62.733593	12.064153	0.10613	0.10613	0.10613
0.57849997	40.290504	60.435757	11.622261	0.106486	0.106486	0.106486
0.57950002	41.445473	62.168209	11.955426	0.10684201	0.106842	0.10684202
0.58050001	41.809883	62.714821	12.060543	0.10719501	0.10719501	0.10719501
0.58149999	42.288715	63.433071	12.198668	0.107545	0.107545	0.107545
0.58249998	42.884262	64.326393	12.370461	0.107895	0.107895	0.107895
0.58350003	42.655853	63.98378	12.304573	0.10824501	0.10824501	0.10824501
0.58450001	42.862911	64.294365	12.364302	0.10859501	0.108595	0.108595
0.5855	41.211449	61.817173	11.887918	0.10892002	0.10892001	0.10892001
0.58649999	42.414284	63.621426	12.23489	0.10922001	0.10922	0.10922
0.58749998	42.949123	64.423683	12.389171	0.10952001	0.10952001	0.10952
0.58850002	40.782925	61.174389	11.764306	0.10982001	0.10982001	0.10982001
0.58950001	37.669525	56.504288	10.866209	0.11012002	0.11012001	0.11012001
0.5905	42.477715	63.716576	12.253188	0.110409	0.110409	0.110409
0.59149998	41.973972	62.960957	12.107877	0.11068701	0.11068701	0.11068701
0.59249997	42.573887	63.860828	12.280929	0.11096499	0.11096499	0.110965
0.59350002	42.39727	63.595901	12.229981	0.111243	0.111243	0.111243
0.59450001	41.958916	62.93837	12.103534	0.111521	0.111521	0.11152101
0.59549999	42.272491	63.408733	12.193988	0.111787	0.11178699	0.11178699
0.59649998	42.915386	64.373077	12.379437	0.11204099	0.112041	0.11204099
0.59750003	42.416931	63.625401	12.235655	0.11229499	0.112295	0.112295
0.59850001	41.963554	62.945328	12.104871	0.112549	0.112549	0.112549
0.5995	42.465191	63.697788	12.249576	0.11280299	0.112803	0.112803
0.60049999	41.881641	62.82246	12.081244	0.11303699	0.11303699	0.11303699
0.60149997	42.081097	63.121643	12.138778	0.113251	0.113251	0.113251
0.60250002	41.390114	62.085171	11.939457	0.11346499	0.11346499	0.11346499
